arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
123.00,0.00,13.41,0.00,0.00,33.00,2.23,3.99,13.37
124.00,0.00,12.73,3.00,0.00,43.00,5.16,11.57,13.54
120.00,0.00,10.86,4.00,0.00,50.00,6.42,16.57,16.15
124.00,0.00,12.61,1.00,0.00,41.00,4.58,12.10,11.71
105.00,0.00,9.49,3.00,0.00,17.00,1.96,2.08,3.46
124.00,0.00,3.03,3.00,0.00,19.00,1.37,4.54,10.06
110.00,0.00,9.46,7.00,0.00,20.00,1.63,1.95,6.97
124.00,0.00,6.89,5.00,0.00,30.00,2.84,5.19,15.08
122.00,0.00,11.99,2.00,0.00,36.00,6.10,7.28,10.64
113.00,0.00,8.74,2.00,0.00,20.00,1.35,3.01,6.90
119.00,0.00,6.03,0.00,0.00,17.00,4.08,0.44,6.45
117.00,0.00,5.16,2.00,0.00,14.00,2.04,0.61,6.19
124.00,0.16,5.96,2.00,0.00,23.00,0.39,7.84,8.64
124.00,0.00,11.09,0.00,1.00,22.00,1.45,4.25,5.21
120.00,0.00,8.25,0.00,0.00,24.00,0.67,5.54,9.54
123.00,0.00,6.84,0.00,0.00,21.00,2.84,4.21,7.11
119.00,0.00,11.59,0.00,0.00,25.00,0.45,5.97,6.99
124.00,0.00,8.85,1.00,0.00,24.00,0.42,6.95,7.78
111.00,0.00,6.91,1.00,1.00,20.00,0.86,6.22,6.01
124.00,0.00,8.96,0.00,0.00,17.00,0.22,5.04,2.78
124.00,0.00,16.52,1.00,0.00,32.00,1.03,5.85,8.59
119.00,0.00,7.35,0.00,0.00,19.00,1.43,3.28,6.94
124.00,0.00,3.86,4.00,0.00,7.00,0.46,1.78,0.90
120.00,0.00,7.09,1.00,0.00,15.00,0.35,6.77,0.78
122.00,0.00,7.99,0.00,1.00,31.00,3.56,10.02,9.43
124.00,0.00,12.49,0.00,0.00,43.00,5.72,9.20,15.58
120.00,0.00,13.60,0.00,0.00,30.00,2.29,7.25,6.86
124.00,0.00,5.30,0.00,0.00,12.00,2.71,0.96,3.02
118.00,0.00,5.69,0.00,0.00,12.00,2.02,1.94,2.34
93.00,0.00,4.99,0.00,0.00,13.00,2.71,2.82,2.47
91.00,0.00,3.81,0.00,0.00,9.00,0.08,3.31,1.80
93.00,0.00,9.80,0.00,0.00,27.00,3.03,7.00,7.18
93.00,0.78,13.43,1.00,0.00,26.00,1.12,4.06,6.62
89.00,0.00,6.51,0.00,0.00,22.00,4.61,4.92,5.96
88.00,0.00,3.81,0.00,0.00,16.00,0.73,6.77,4.69
87.00,0.00,2.45,8.00,0.00,10.00,0.44,4.73,2.37
93.00,0.00,2.66,1.00,0.00,17.00,3.58,3.01,7.75
93.00,0.00,3.45,0.00,0.00,11.00,1.08,2.43,4.05
90.00,0.00,4.85,0.00,1.00,24.00,5.67,4.65,8.84
93.00,0.00,3.89,1.00,0.00,9.00,1.43,2.69,0.99
90.00,0.00,0.60,0.00,0.00,6.00,1.72,2.04,1.64
93.00,0.00,4.39,0.00,0.00,11.00,3.13,2.71,0.76
87.00,0.00,6.89,0.00,0.00,20.00,4.49,4.60,4.01
93.00,0.00,9.34,0.00,0.00,22.00,1.90,4.54,6.22
93.00,0.00,9.96,0.00,0.00,20.00,2.52,5.13,2.39
89.00,0.00,7.99,0.00,0.00,14.00,0.13,4.38,1.50
93.00,0.00,3.47,0.00,0.00,6.00,0.27,2.27,0.00
90.00,0.00,4.78,0.00,0.00,9.00,1.26,1.54,1.43
93.00,0.00,6.87,1.00,0.00,23.00,5.27,7.55,3.30
93.00,0.00,12.85,0.00,0.00,24.00,1.53,4.35,5.28
90.00,0.00,7.37,1.00,0.00,18.00,4.26,3.06,3.31
