arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
356.00,0.00,31.30,56.00,1.00,64.00,1.81,17.57,13.32
368.00,0.00,34.21,8.00,0.00,91.00,0.50,32.24,24.05
366.00,0.00,42.79,2.00,1.00,110.00,3.44,38.63,25.13
360.00,0.00,41.20,2.00,2.00,116.00,2.31,45.17,27.32
372.00,0.00,24.35,1.00,0.00,88.00,3.54,31.68,28.43
359.00,0.00,15.14,0.00,0.00,60.00,0.00,28.90,15.96
372.00,0.00,19.75,0.00,0.00,60.00,0.58,27.21,12.47
348.00,0.00,46.81,4.00,0.00,118.00,0.89,32.29,38.00
369.00,0.00,17.10,4.00,0.00,60.00,0.03,19.82,23.05
366.00,0.00,37.17,4.00,0.00,104.00,1.30,37.83,27.71
349.00,0.00,12.96,0.00,0.00,46.00,1.53,23.26,8.25
362.00,0.00,14.36,0.00,0.00,51.00,0.00,28.65,7.99
351.00,0.00,14.26,0.00,0.00,36.00,0.82,17.49,3.43
365.00,0.00,31.69,0.00,0.00,92.00,1.82,35.90,22.60
362.00,0.00,29.75,1.00,0.00,97.00,6.10,43.02,18.13
326.00,0.00,16.95,0.00,0.00,60.00,1.27,28.05,13.73
