arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
1448.00,0.00,139.17,2.00,0.00,327.00,11.61,105.98,70.23
1435.00,0.00,61.32,2.00,0.00,148.00,4.01,47.77,34.91
1437.00,0.00,80.72,1.00,1.00,221.00,6.22,88.47,45.59
1574.00,0.00,88.60,6.00,4.00,252.00,10.58,106.17,46.65
1311.00,0.00,66.03,12.00,1.00,159.00,4.17,60.02,28.78
1384.00,0.00,69.01,3.00,1.00,169.00,6.89,69.23,23.87
1415.00,0.00,69.82,1.00,1.00,238.00,3.38,100.05,64.74
1356.00,0.00,42.10,8.00,1.00,114.00,1.07,32.04,38.79
1388.00,0.00,56.38,27.00,2.00,149.00,1.71,44.26,46.66
1351.00,0.00,37.69,7.00,6.00,140.00,0.74,62.34,39.23
1468.00,0.00,91.48,7.00,3.00,325.00,5.73,141.18,86.60
1483.00,0.00,96.92,7.00,1.00,316.00,13.37,108.65,97.06
1445.00,0.00,70.26,4.00,5.00,201.00,7.37,74.96,48.40
1476.00,0.00,61.25,2.00,0.00,236.00,4.51,96.36,73.88
1484.00,0.00,41.80,1.00,2.00,128.00,1.00,37.92,47.28
1537.00,0.00,67.36,2.00,1.00,227.00,3.64,83.42,72.58
1309.00,0.00,46.81,0.00,3.00,142.00,1.47,46.80,46.92
1346.00,0.00,57.26,2.00,0.00,169.00,4.04,56.14,51.56
1427.00,0.00,61.38,3.00,0.00,171.00,3.34,55.11,51.17
1314.00,0.82,48.61,0.00,1.00,137.00,2.95,41.74,42.89
1337.00,0.00,50.50,5.00,2.00,173.00,1.08,86.91,34.50
1298.00,0.00,49.22,1.00,0.00,181.00,2.65,87.34,41.80
1453.00,0.00,80.23,23.00,1.00,246.00,5.60,75.57,84.61
1514.00,0.00,105.09,10.00,5.00,340.00,12.81,118.43,103.66
1470.00,0.00,84.56,9.00,4.00,260.00,12.12,84.65,78.68
1534.00,0.00,74.06,8.00,2.00,228.00,6.69,76.29,70.96
1576.00,0.00,93.67,13.00,0.00,309.00,6.00,100.44,108.88
1714.00,0.00,109.32,10.00,3.00,355.00,5.60,123.04,117.04
1511.00,0.00,83.89,35.00,1.00,294.00,8.70,110.14,91.27
1670.00,0.00,109.48,73.00,0.00,324.00,11.42,132.27,70.83
1620.00,0.00,149.13,58.00,4.00,377.00,11.76,103.66,112.45
1487.00,0.00,80.15,4.00,2.00,248.00,4.36,98.29,65.20
1425.00,0.00,111.30,12.00,0.00,268.00,4.30,65.85,86.55
1382.00,0.00,77.71,12.00,1.00,221.00,4.83,76.24,62.22
1536.00,0.00,137.17,10.00,3.00,360.00,5.84,125.70,91.30
1576.00,0.53,180.08,22.00,0.00,448.00,15.77,121.80,129.82
1516.00,0.00,159.28,15.00,0.00,416.00,12.49,128.86,115.37
1532.00,0.00,128.55,9.00,0.00,350.00,10.69,121.38,89.38
1534.00,0.00,99.49,3.00,0.00,245.00,5.93,91.79,47.79
1658.00,0.07,123.71,16.00,3.00,335.00,7.48,109.94,93.80
1449.00,2.54,129.68,49.00,0.00,364.00,8.59,154.67,68.52
1547.00,0.00,113.72,15.00,2.00,288.00,8.42,110.23,55.63
1135.00,1.00,69.76,21.00,4.00,241.00,5.91,93.02,71.31
1012.00,0.00,27.43,3.00,0.00,91.00,1.01,38.84,23.71
986.00,0.00,46.03,1.00,0.00,123.00,2.66,40.20,34.11
923.00,0.00,38.43,4.00,1.00,104.00,4.17,35.67,25.73
1048.00,0.00,49.40,2.00,1.00,181.00,3.13,74.36,54.12
1024.00,0.73,64.51,2.00,5.00,221.00,6.39,83.22,66.15
998.00,0.00,54.69,5.00,6.00,196.00,3.81,72.93,64.57
1078.00,0.00,59.12,5.00,1.00,234.00,3.63,114.62,56.62
1062.00,0.00,60.04,3.00,2.00,206.00,3.66,84.20,58.09
1121.00,0.00,60.71,20.00,0.00,198.00,12.66,65.80,58.83
993.00,0.00,40.04,6.00,1.00,109.00,3.75,39.39,25.82
1072.00,0.00,54.10,6.00,2.00,217.00,8.98,105.16,48.76
1075.00,0.00,89.30,10.00,2.00,283.00,13.23,96.46,84.01
960.00,0.00,52.68,3.00,1.00,172.00,3.19,65.93,50.20
938.00,0.00,66.75,1.00,0.00,165.00,2.47,51.10,44.69
876.00,0.00,37.05,3.00,0.00,106.00,2.76,46.24,19.94
1024.00,0.00,84.05,8.00,1.00,229.00,2.17,94.53,48.25
1041.00,0.00,103.96,10.00,2.00,306.00,10.07,98.31,93.66
1013.00,0.00,73.07,7.00,4.00,266.00,4.28,119.90,68.75
1056.00,0.00,42.85,2.00,0.00,142.00,1.08,68.03,30.03
1056.00,0.00,62.01,4.00,0.00,253.00,2.30,104.07,84.63
1145.00,0.00,69.34,12.00,2.00,317.00,4.68,143.57,99.41
1045.00,0.00,58.06,8.00,1.00,245.00,8.07,111.55,67.32
1090.00,0.00,49.35,15.00,1.00,179.00,3.31,80.34,46.01
1163.00,0.49,89.84,16.00,0.00,258.00,3.73,92.06,71.88
1061.00,0.00,33.61,6.00,0.00,108.00,0.46,36.57,37.36
1061.00,0.70,57.40,4.00,1.00,215.00,0.33,101.53,55.03
1001.00,0.00,42.43,6.00,2.00,166.00,2.15,77.01,44.41
1147.00,0.00,96.90,4.00,1.00,302.00,7.09,112.55,85.47
1198.00,2.21,124.56,17.00,2.00,452.00,8.28,181.92,135.02
1152.00,0.00,101.62,25.00,4.00,349.00,12.98,131.59,102.81
1118.00,0.00,67.47,5.00,0.00,226.00,1.92,101.65,54.96
1145.00,0.39,65.31,4.00,2.00,269.00,1.47,133.68,68.15
1186.00,0.00,89.56,23.00,0.00,295.00,1.97,128.23,75.24
1054.00,0.00,65.42,19.00,0.00,252.00,10.72,113.77,62.08
1160.00,0.00,64.23,10.00,2.00,204.00,6.55,83.07,50.16
1089.00,0.84,75.64,4.00,0.00,250.00,3.77,96.93,72.82
999.00,0.00,60.00,2.00,0.00,170.00,3.29,65.53,41.18
1015.00,0.00,75.87,10.00,2.00,198.00,4.42,65.20,52.51
962.00,0.00,53.38,12.00,2.00,204.00,1.78,94.09,54.76
1086.00,2.00,64.46,13.00,1.00,243.00,4.86,84.37,87.32
1106.00,1.30,90.06,13.00,1.00,294.00,7.73,110.00,84.90
1088.00,0.70,81.49,6.00,0.00,287.00,7.06,100.48,97.27
1146.00,0.00,60.31,7.00,1.00,184.00,4.53,63.58,55.57
1245.00,1.89,55.35,5.00,0.00,178.00,3.03,51.27,66.46
1284.00,1.89,63.26,3.00,0.00,189.00,1.50,40.96,81.39
1095.00,0.00,49.82,25.00,1.00,196.00,8.28,80.42,57.47
1187.00,0.00,79.09,14.00,5.00,236.00,14.11,64.81,77.99
1230.00,0.00,105.10,15.00,1.00,399.00,11.53,153.83,128.54
1238.00,0.00,73.55,5.00,0.00,319.00,2.99,143.91,98.55
1203.00,0.00,64.15,25.00,1.00,217.00,2.49,117.08,33.28
1129.00,0.00,43.70,8.00,0.00,130.00,0.75,62.77,22.79
1341.00,0.47,82.55,17.00,2.00,312.00,4.12,117.22,107.64
1343.00,0.00,89.49,16.00,2.00,362.00,8.65,124.11,139.75
1292.00,0.00,60.29,2.00,3.00,275.00,1.97,106.84,105.90
1407.00,0.00,55.28,5.00,1.00,187.00,3.41,70.30,58.01
1335.00,0.00,49.24,2.00,1.00,197.00,4.09,83.50,60.17
1405.00,0.44,79.64,20.00,2.00,386.00,8.11,153.77,144.03
1271.00,0.00,62.08,5.00,0.00,213.00,3.05,77.86,70.01
1357.00,0.72,66.50,40.00,0.00,250.00,13.54,88.52,80.72
1334.00,0.42,109.21,7.00,1.00,314.00,15.19,113.21,75.97
1316.00,0.00,55.27,1.00,1.00,215.00,4.93,87.30,67.49
1331.00,0.00,64.11,3.00,0.00,173.00,1.61,70.26,37.02
1198.00,0.00,63.35,217.00,1.00,187.00,8.21,74.12,41.33
1388.00,1.91,72.14,49.00,1.00,377.00,7.79,206.23,88.92
1393.00,1.00,92.97,6.00,3.00,438.00,4.64,216.51,122.88
1356.00,0.00,90.46,5.00,7.00,401.00,10.86,204.52,95.16
1369.00,0.00,63.25,2.00,0.00,301.00,4.59,168.87,64.28
1494.00,1.00,62.25,0.00,2.00,305.00,2.60,181.00,58.15
1531.00,1.00,57.40,3.00,0.00,196.00,8.23,80.04,49.33
1429.00,0.00,92.31,6.00,1.00,294.00,4.69,132.12,64.88
1381.00,0.97,49.92,5.00,1.00,212.00,8.91,110.45,41.76
1407.00,0.00,72.30,37.00,4.00,255.00,13.14,92.63,76.93
1348.00,0.00,54.02,2.00,0.00,167.00,2.07,69.75,41.16
1350.00,0.00,40.37,0.00,0.00,128.00,0.43,58.02,29.18
1168.00,0.00,28.29,7.00,2.00,148.00,1.58,79.70,38.42
1324.00,0.00,80.93,12.00,7.00,313.00,6.17,157.65,68.25
1356.00,0.00,73.11,2.00,2.00,288.00,5.60,165.33,43.96
1312.00,0.00,44.06,3.00,0.00,184.00,3.02,95.06,41.86
