arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
735.00,1.35,94.54,7.00,3.00,190.00,10.82,45.61,37.67
741.00,0.00,97.23,6.00,2.00,199.00,4.79,47.05,49.92
687.00,0.00,76.97,15.00,2.00,178.00,15.03,49.38,36.63
713.00,0.00,78.22,9.00,3.00,173.00,6.81,39.25,48.72
695.00,0.50,56.90,2.00,3.00,126.00,6.51,32.40,29.69
744.00,0.36,79.83,4.00,4.00,201.00,12.61,64.10,44.10
672.00,0.00,88.70,11.00,0.00,182.00,9.16,38.02,46.12
744.00,1.23,82.09,1.00,2.00,162.00,9.05,31.23,38.40
742.00,0.00,98.85,8.00,1.00,229.00,18.37,54.10,57.68
679.00,0.00,63.09,2.00,0.00,106.00,1.47,20.53,20.91
682.00,0.00,69.49,1.00,0.00,134.00,4.90,21.71,37.90
657.00,0.00,61.94,3.00,3.00,111.00,6.22,25.20,17.64
730.00,0.00,88.29,6.00,0.00,194.00,16.64,43.70,45.38
741.00,0.00,91.55,3.00,2.00,225.00,21.50,49.60,62.34
719.00,0.00,101.58,10.00,3.00,242.00,23.78,56.50,60.13
744.00,0.00,85.60,6.00,2.00,222.00,11.50,76.14,48.77
731.00,0.00,108.69,4.00,1.00,233.00,10.50,51.78,62.03
802.00,0.00,85.20,5.00,0.00,183.00,4.15,51.60,42.05
724.00,0.00,67.55,1.00,0.00,115.00,5.01,16.52,25.92
801.00,0.00,80.79,10.00,0.00,182.00,21.45,36.06,43.70
802.00,0.00,95.37,11.00,1.00,236.00,24.77,61.57,54.29
770.00,0.00,68.24,5.00,1.00,129.00,0.82,30.01,29.93
805.00,0.38,80.45,2.00,0.00,147.00,3.55,37.11,25.51
787.00,0.00,68.61,6.00,1.00,156.00,5.43,45.13,36.83
930.00,0.00,123.83,35.00,5.00,340.00,16.58,117.90,81.69
927.00,0.00,118.72,11.00,1.00,348.00,10.68,119.29,99.30
900.00,0.00,113.91,15.00,3.00,372.00,11.89,135.57,110.63
959.00,0.00,95.24,13.00,1.00,304.00,5.62,108.15,95.00
924.00,0.00,103.82,47.00,0.00,281.00,3.78,95.42,77.98
929.00,0.00,135.54,29.00,3.00,342.00,12.16,100.32,93.97
870.00,0.00,127.61,18.00,1.00,355.00,17.95,97.12,112.33
929.00,0.55,115.42,6.00,1.00,284.00,10.80,72.14,85.09
912.00,0.34,141.15,7.00,0.00,350.00,22.85,76.05,109.61
859.00,0.00,89.47,2.00,0.00,205.00,5.81,48.98,60.75
894.00,1.11,89.33,1.00,0.00,269.00,8.90,85.33,84.33
871.00,1.14,86.38,11.00,1.00,225.00,6.56,75.26,55.66
960.00,0.00,87.54,13.00,0.00,277.00,10.60,60.29,118.56
960.00,0.84,93.57,9.00,3.00,369.00,30.37,110.82,133.40
929.00,0.00,108.48,21.00,4.00,388.00,34.42,103.97,141.13
961.00,0.16,83.81,15.00,1.00,283.00,16.86,101.34,80.83
920.00,0.06,86.27,13.00,7.00,243.00,9.96,53.20,93.52
930.00,0.00,114.19,13.00,0.00,264.00,16.15,53.73,79.94
840.00,0.00,85.85,21.00,1.00,231.00,25.24,47.50,72.41
900.00,0.00,95.86,13.00,0.00,262.00,27.95,45.40,92.78
922.00,0.00,109.69,16.00,2.00,278.00,17.80,57.13,93.38
923.00,0.00,61.25,9.00,0.00,160.00,6.74,40.08,51.93
957.00,0.00,58.89,3.00,0.00,171.00,13.32,40.34,58.46
929.00,0.19,68.69,12.00,0.00,208.00,17.99,52.67,68.47
992.00,8.05,79.58,16.00,0.00,217.00,14.88,50.20,64.29
992.00,0.00,94.64,8.00,1.00,274.00,14.94,79.70,84.72
960.00,0.00,83.84,6.00,3.00,251.00,17.08,91.96,58.12
990.00,0.00,64.51,1.00,5.00,193.00,10.46,60.33,57.70
963.00,0.00,69.86,0.00,1.00,194.00,8.54,54.97,60.62
1004.00,0.00,57.00,2.00,0.00,166.00,12.87,39.07,57.06
906.00,0.89,63.20,11.00,1.00,189.00,15.89,57.91,51.12
977.00,0.31,70.95,2.00,1.00,180.00,11.39,48.00,49.35
965.00,2.36,114.29,9.00,0.00,268.00,16.62,65.25,69.47
912.00,0.00,67.21,1.00,1.00,173.00,3.14,59.24,43.41
902.00,0.01,57.16,23.00,0.00,153.00,7.25,35.82,52.75
870.00,0.00,67.31,7.00,0.00,165.00,12.57,46.27,38.85
964.00,0.00,79.96,17.00,3.00,289.00,26.32,118.05,64.67
992.00,0.00,112.49,2.00,0.00,327.00,28.26,84.64,101.62
951.00,0.00,98.17,1.00,3.00,263.00,18.10,73.50,73.23
966.00,0.00,57.84,0.00,2.00,160.00,13.18,48.34,40.64
945.00,1.00,54.97,3.00,0.00,136.00,8.58,35.11,36.34
976.00,0.00,90.50,3.00,2.00,250.00,15.57,65.95,77.99
884.00,0.00,63.86,3.00,0.00,145.00,8.34,25.16,47.63
968.00,1.06,98.96,13.00,0.00,269.00,29.33,57.76,81.90
1000.00,6.07,105.42,2.00,0.00,280.00,20.43,66.83,81.24
957.00,2.00,41.00,0.00,0.00,141.00,13.62,37.67,46.72
1018.00,1.00,48.79,0.00,0.00,143.00,10.86,44.52,37.83
900.00,0.00,38.47,159.00,0.00,120.00,6.02,42.63,32.88
1058.00,0.18,92.86,55.00,2.00,269.00,21.73,67.56,86.68
1032.00,0.00,82.40,3.00,2.00,229.00,24.04,60.89,61.66
986.00,0.00,69.46,2.00,0.00,241.00,27.37,70.52,73.65
970.00,0.86,54.20,4.00,1.00,161.00,6.11,64.10,35.73
913.00,0.00,51.21,1.00,0.00,151.00,12.88,45.88,41.03
938.00,1.94,63.04,3.00,1.00,177.00,13.86,50.59,47.56
879.00,0.00,78.16,4.00,0.00,231.00,18.72,75.37,58.75
934.00,0.00,87.41,6.00,0.00,263.00,37.24,65.16,73.19
970.00,0.05,70.81,14.00,0.00,198.00,12.20,61.38,53.56
936.00,2.68,44.58,2.00,0.00,145.00,12.23,44.33,41.18
892.00,0.00,48.97,1.00,1.00,102.00,1.95,36.44,14.64
875.00,0.00,41.17,6.00,0.00,123.00,8.38,47.30,26.15
1082.00,2.06,72.56,15.00,5.00,285.00,31.67,107.15,71.56
1082.00,0.00,75.71,0.00,1.00,283.00,25.98,114.27,67.04
1000.00,0.63,54.38,1.00,1.00,192.00,22.59,74.34,40.06
