arr_flights,security_ct,carrier_ct,arr_cancelled,arr_diverted,arr_del15,weather_ct,nas_ct,late_aircraft_ct
3122.00,0.08,65.43,70.00,8.00,236.00,4.30,41.25,124.95
3400.00,0.53,106.74,64.00,16.00,472.00,15.21,104.46,245.06
3496.00,3.11,117.02,21.00,7.00,521.00,16.26,97.48,287.13
3393.00,2.46,132.22,15.00,23.00,680.00,30.43,162.79,352.10
3529.00,1.51,90.30,6.00,0.00,404.00,6.28,72.73,233.18
3552.00,3.20,119.67,11.00,1.00,614.00,8.85,205.81,276.47
3648.00,8.49,187.49,17.00,3.00,922.00,18.47,286.68,420.87
3285.00,5.38,169.60,28.00,5.00,806.00,38.57,178.85,413.60
3529.00,5.73,114.80,18.00,3.00,527.00,10.04,101.63,294.80
3501.00,9.37,148.14,30.00,3.00,671.00,19.23,107.00,387.25
3403.00,3.61,71.95,10.00,4.00,305.00,4.00,29.69,195.75
3524.00,1.50,90.72,8.00,2.00,522.00,4.23,134.10,291.46
3384.00,0.00,82.22,30.00,6.00,323.00,4.03,74.74,162.01
3575.00,1.75,120.10,15.00,4.00,578.00,20.45,86.40,349.29
3536.00,3.87,134.60,11.00,13.00,825.00,47.23,177.58,461.72
3285.00,2.25,114.00,9.00,14.00,650.00,25.74,104.69,403.33
3309.00,2.13,94.66,3.00,5.00,375.00,7.64,59.40,211.17
3159.00,6.17,94.18,9.00,0.00,433.00,3.99,74.87,253.79
3185.00,3.38,118.95,24.00,1.00,503.00,12.66,96.72,271.30
2778.00,2.82,126.87,66.00,2.00,545.00,16.60,162.84,235.87
3062.00,0.63,92.02,27.00,1.00,367.00,5.20,76.98,192.17
2980.00,2.48,128.51,29.00,1.00,510.00,3.81,107.68,267.52
2832.00,2.17,72.01,12.00,1.00,370.00,1.47,79.18,215.17
2933.00,1.25,77.04,28.00,3.00,353.00,3.32,86.18,185.20
2772.00,2.44,64.49,23.00,3.00,367.00,6.98,99.73,193.36
2899.00,6.70,84.95,90.00,7.00,424.00,9.09,77.68,245.58
2855.00,0.06,117.09,4.00,7.00,568.00,14.45,115.33,321.08
2745.00,0.09,141.32,4.00,5.00,628.00,16.13,134.91,335.55
2833.00,2.40,109.49,3.00,7.00,503.00,9.73,111.80,269.59
2726.00,0.41,69.05,4.00,6.00,320.00,8.06,57.90,184.59
2791.00,2.56,82.95,4.00,6.00,300.00,4.93,29.37,180.20
2494.00,0.07,89.58,28.00,3.00,358.00,12.51,104.32,151.52
2710.00,1.83,79.60,20.00,8.00,342.00,7.78,91.28,161.51
2708.00,0.19,117.67,13.00,6.00,589.00,9.33,193.42,268.40
2560.00,1.36,91.69,7.00,2.00,385.00,7.00,114.61,170.33
2712.00,3.59,95.14,42.00,2.00,466.00,1.48,185.94,179.85
2488.00,0.21,48.94,38.00,2.00,208.00,2.86,47.35,108.65
2639.00,3.70,89.68,36.00,5.00,439.00,15.02,124.24,206.36
2613.00,6.63,94.69,6.00,7.00,533.00,14.49,128.72,288.47
2521.00,2.53,87.96,7.00,6.00,494.00,16.70,152.31,234.51
2578.00,0.48,68.82,1.00,2.00,336.00,6.12,108.95,151.62
2482.00,2.13,47.61,4.00,0.00,268.00,2.44,100.17,115.65
2537.00,0.66,99.01,14.00,4.00,604.00,22.28,232.17,249.88
2287.00,3.24,53.32,10.00,2.00,303.00,2.74,80.14,163.56
2469.00,4.70,96.70,51.00,0.00,440.00,6.02,118.93,213.65
2452.00,6.08,111.65,23.00,3.00,512.00,3.67,168.99,221.61
2284.00,1.40,58.61,8.00,1.00,259.00,3.11,61.71,134.16
2259.00,1.58,43.72,5.00,0.00,233.00,2.44,38.52,146.73
2057.00,1.43,39.11,401.00,2.00,185.00,1.87,59.33,83.26
2097.00,0.84,74.23,85.00,22.00,461.00,13.02,155.11,217.80
2092.00,0.04,88.63,4.00,3.00,534.00,14.83,141.74,288.76
2031.00,0.55,84.37,1.00,11.00,532.00,11.65,139.32,296.12
2070.00,0.35,81.79,1.00,2.00,448.00,7.70,102.59,255.56
1946.00,1.08,79.51,0.00,4.00,435.00,4.37,130.03,220.01
1988.00,0.61,74.57,2.00,1.00,292.00,0.90,43.53,172.40
1859.00,1.33,44.60,2.00,2.00,282.00,6.25,101.78,128.05
1956.00,2.37,69.74,11.00,1.00,287.00,4.27,67.55,143.07
1929.00,1.78,55.81,15.00,2.00,273.00,5.67,55.24,154.51
1873.00,0.00,36.96,9.00,3.00,182.00,2.64,35.83,106.57
1964.00,0.00,41.71,8.00,2.00,175.00,1.70,33.59,98.00
1900.00,1.05,26.06,22.00,6.00,140.00,7.10,35.33,70.46
1975.00,2.23,38.31,7.00,8.00,322.00,17.73,104.26,159.46
1968.00,0.00,51.81,5.00,2.00,327.00,12.00,106.99,156.19
1923.00,0.70,40.42,3.00,3.00,275.00,8.78,87.38,137.72
